action_id,hero_BBs,at_preflop,at_flop,at_turn,at_river,equity_preflop,equity_flop,equity_turn,equity_river,nb_players,action_fold,action_call,action_raise,amount,winnings
10013,80,1,0,0,0,0,0.22,0.25,0.27,3,0,0,1,3,1.5
10014,81.5,1,0,0,0,0,0.12,0.17,0.13,4,0,0,1,1.5,1.5
10015,83,1,0,0,0,0.26,0.29,0.25,0.25,5,1,0,0,0,0
10016,83,1,0,0,0,0,0.08,0.08,0.1,6,0,0,1,83,1.5
10017,83.5,1,0,0,0,0.96,0.75,0.73,0.71,2,1,0,0,0,0
10018,83,1,0,0,0,0.08,0.31,0.34,0.38,2,1,0,0,0,0
10019,83,1,0,0,0,0.27,0.35,0.39,0.42,3,0,0,1,3,1.5
10020,84.5,1,0,0,0,0.29,0.26,0.21,0.2,4,0,0,1,3,1.5
10021,86,1,0,0,0,0.06,0.12,0.19,0.1,5,0,0,1,86,1.5
10022,87.5,1,0,0,0,0,0.04,0.16,0.12,6,0,0,1,3,1.5
10023,89,1,0,0,0,0.58,0.51,0.46,0.62,2,0,0,1,3,1.5
10024,90.5,1,0,0,0,0.85,0.55,0.59,0.49,3,1,0,0,0,0
10025,90.5,1,0,0,0,0.17,0.27,0.22,0.26,4,0,0,1,1.5,1.5
10026,92,1,0,0,0,0.35,0.29,0.23,0.26,5,1,0,0,0,0
